"","longitude","latitude","year","month","day","dataname"
"1",-112.15208,34.058741,2022,1,5,"gbif_filtered"
"2",-110.981827,32.339651,2022,1,4,"gbif_filtered"
"3",-110.981827,32.339651,2022,1,11,"gbif_filtered"
"4",-110.981827,32.339651,2022,1,18,"gbif_filtered"
"5",-110.98173,32.339469,2022,1,25,"gbif_filtered"
"6",-110.98173,32.339469,2022,2,8,"gbif_filtered"
"7",-110.98173,32.339469,2022,2,15,"gbif_filtered"
"8",-110.98173,32.339469,2022,2,22,"gbif_filtered"
"9",-110.98173,32.339469,2022,3,1,"gbif_filtered"
"10",-110.98173,32.339469,2022,3,22,"gbif_filtered"
"11",-110.98173,32.339469,2022,3,8,"gbif_filtered"
"12",-110.98173,32.339469,2022,3,15,"gbif_filtered"
"13",-110.98173,32.339259,2021,2,2,"gbif_filtered"
"14",-110.98173,32.339259,2021,3,2,"gbif_filtered"
"15",-111.155085,33.278739,2021,3,5,"gbif_filtered"
"16",-110.98173,32.339259,2021,5,25,"gbif_filtered"
"17",-111.96001,33.890149,2021,10,2,"gbif_filtered"
"18",-111.96055,33.883563,2021,10,2,"gbif_filtered"
"19",-110.98173,32.339469,2021,10,12,"gbif_filtered"
"20",-112.694699,33.932831,2021,10,2,"gbif_filtered"
"21",-110.98173,32.339469,2021,10,28,"gbif_filtered"
"22",-110.98173,32.339469,2021,11,23,"gbif_filtered"
"23",-110.98173,32.339469,2021,11,9,"gbif_filtered"
"24",-110.98173,32.339469,2021,11,16,"gbif_filtered"
"25",-110.981827,32.339506,2021,11,30,"gbif_filtered"
"26",-110.981827,32.339651,2021,12,28,"gbif_filtered"
"27",-112.151863,34.071015,2021,12,19,"gbif_filtered"
"28",-110.981827,32.339506,2021,12,7,"gbif_filtered"
"29",-110.981827,32.339651,2021,12,23,"gbif_filtered"
"30",-110.981741,32.339288,2020,1,11,"gbif_filtered"
"31",-110.981741,32.339288,2020,1,25,"gbif_filtered"
"32",-110.981741,32.339288,2020,1,18,"gbif_filtered"
"33",-110.981741,32.339288,2020,1,4,"gbif_filtered"
"34",-110.981741,32.339288,2020,2,1,"gbif_filtered"
"35",-110.981741,32.339288,2020,2,15,"gbif_filtered"
"36",-110.981741,32.339288,2020,3,21,"gbif_filtered"
"37",-110.981741,32.339288,2020,3,7,"gbif_filtered"
"38",-110.981741,32.339288,2020,3,28,"gbif_filtered"
"39",-110.981741,32.339288,2020,3,14,"gbif_filtered"
"40",-110.981741,32.339288,2020,4,4,"gbif_filtered"
"41",-110.981741,32.339288,2020,4,18,"gbif_filtered"
"42",-110.981827,32.339361,2020,4,28,"gbif_filtered"
"43",-110.98173,32.339259,2020,5,5,"gbif_filtered"
"44",-110.981827,32.339361,2020,5,19,"gbif_filtered"
"45",-110.981827,32.339361,2020,6,9,"gbif_filtered"
"46",-110.98173,32.339259,2020,10,13,"gbif_filtered"
"47",-110.98173,32.339259,2020,10,20,"gbif_filtered"
"48",-110.98173,32.339259,2020,11,3,"gbif_filtered"
"49",-110.98173,32.339259,2020,11,24,"gbif_filtered"
"50",-110.98173,32.339259,2020,11,17,"gbif_filtered"
"51",-110.98173,32.339259,2020,12,8,"gbif_filtered"
"52",-110.981741,32.339288,2019,1,26,"gbif_filtered"
"53",-110.981741,32.339288,2019,1,12,"gbif_filtered"
"54",-110.981741,32.339288,2019,1,5,"gbif_filtered"
"55",-110.981741,32.339288,2019,1,19,"gbif_filtered"
"56",-110.981741,32.339288,2019,2,23,"gbif_filtered"
"57",-110.981741,32.339288,2019,2,9,"gbif_filtered"
"58",-110.981741,32.339288,2019,2,2,"gbif_filtered"
"59",-110.981741,32.339288,2019,2,16,"gbif_filtered"
"60",-110.981741,32.339288,2019,3,3,"gbif_filtered"
"61",-110.981741,32.339288,2019,3,16,"gbif_filtered"
"62",-110.722017,32.240695,2019,3,7,"gbif_filtered"
"63",-110.981741,32.339288,2019,3,30,"gbif_filtered"
"64",-110.981741,32.339288,2019,4,6,"gbif_filtered"
"65",-110.981741,32.339288,2019,4,20,"gbif_filtered"
"66",-110.981741,32.339288,2019,5,11,"gbif_filtered"
"67",-110.981741,32.339288,2019,5,18,"gbif_filtered"
"68",-110.981741,32.339288,2019,5,25,"gbif_filtered"
"69",-110.981741,32.339288,2019,6,1,"gbif_filtered"
"70",-110.981741,32.339288,2019,7,20,"gbif_filtered"
"71",-110.981741,32.339288,2019,7,6,"gbif_filtered"
"72",-110.981741,32.339288,2019,8,3,"gbif_filtered"
"73",-110.981741,32.339288,2019,8,24,"gbif_filtered"
"74",-110.981741,32.339288,2019,8,29,"gbif_filtered"
"75",-110.981741,32.339288,2019,9,7,"gbif_filtered"
"76",-110.981741,32.339288,2019,9,28,"gbif_filtered"
"77",-110.981741,32.339288,2019,10,27,"gbif_filtered"
"78",-110.981741,32.339288,2019,10,5,"gbif_filtered"
"79",-110.981741,32.339288,2019,10,12,"gbif_filtered"
"80",-110.981741,32.339288,2019,10,19,"gbif_filtered"
"81",-110.981741,32.339288,2019,11,23,"gbif_filtered"
"82",-110.981741,32.339288,2019,11,2,"gbif_filtered"
"83",-110.981741,32.339288,2019,11,30,"gbif_filtered"
"84",-110.981741,32.339288,2019,11,16,"gbif_filtered"
"85",-110.981741,32.339288,2019,11,9,"gbif_filtered"
"86",-110.981741,32.339288,2019,12,14,"gbif_filtered"
"87",-110.981741,32.339288,2019,12,7,"gbif_filtered"
"88",-110.981741,32.339288,2018,1,5,"gbif_filtered"
"89",-110.981741,32.339288,2018,1,27,"gbif_filtered"
"90",-110.981741,32.339288,2018,1,16,"gbif_filtered"
"91",-110.981741,32.339288,2018,2,17,"gbif_filtered"
"92",-110.981741,32.339288,2018,2,10,"gbif_filtered"
"93",-110.981741,32.339288,2018,2,24,"gbif_filtered"
"94",-110.981741,32.339288,2018,2,3,"gbif_filtered"
"95",-110.981741,32.339288,2018,3,10,"gbif_filtered"
"96",-110.981741,32.339288,2018,3,31,"gbif_filtered"
"97",-110.981741,32.339288,2018,3,17,"gbif_filtered"
"98",-110.981741,32.339288,2018,3,24,"gbif_filtered"
"99",-110.981741,32.339288,2018,3,3,"gbif_filtered"
